##### LOG PROGRAM #####
2022-10-04 18:14:52 : Eror di cek absen create table if not exists absenglslp012020 like absen
2022-10-04 18:14:52 : eror di tombol button
2022-10-04 18:40:47 : eror di replace slsreplace   into `rekapsls012020`(shop,nama,tanggal,salesgross,salesnet,saleshpp,struk,tglupd)  SELECT a.shop,b.nama,a.TANGGAL,SUM(if(a.RTYPE='J',a.GROSS,(a.GROSS)*-1)) AS salesgross,SUM(if(a.RTYPE='J',a.GROSS-a.ppn,(a.gross-a.ppn)*-1)) AS salesnet,SUM(if(a.RTYPE='J',a.HPP*a.QTY,a.HPP*a.QTY*-1)) AS saleshpp,'' AS struk,CURDATE() FROM  DT_012020 a LEFT JOIN shop b ON a.shop=b.kode  WHERE a.`tanggal`='2020-01-07' and  a.shop='F287'  AND a.CAT_COD not in (select catcod from tblvir)  AND PRDCD NOT IN(select plu from plu_kecuali)  GROUP BY a.SHOP,a.TANGGAL;
2022-10-04 18:40:48 : eror di replace stREPLACE   INTO `sales_net012020`  SELECT a.shop,a.TANGGAL,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))) AS salesnet,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))) AS saleshpp,COUNT(DISTINCT(CONCAT(shop,tanggal,docno,station,shift))) AS struk,station,shift FROM  DT_012020 a    WHERE a.`tanggal`='2020-01-07' AND  a.shop='T00C'    AND a.PRDCD NOT IN(SELECT plu FROM plu_kecuali)     GROUP BY a.SHOP,a.TANGGAL,a.station,a.shift;
2022-10-04 18:40:48 : eror di replace slsreplace   into `rekapsls012020`(shop,nama,tanggal,salesgross,salesnet,saleshpp,struk,tglupd)  SELECT a.shop,b.nama,a.TANGGAL,SUM(if(a.RTYPE='J',a.GROSS,(a.GROSS)*-1)) AS salesgross,SUM(if(a.RTYPE='J',a.GROSS-a.ppn,(a.gross-a.ppn)*-1)) AS salesnet,SUM(if(a.RTYPE='J',a.HPP*a.QTY,a.HPP*a.QTY*-1)) AS saleshpp,'' AS struk,CURDATE() FROM  DT_012020 a LEFT JOIN shop b ON a.shop=b.kode  WHERE a.`tanggal`='2020-01-07' and  a.shop='T00C'  AND a.CAT_COD not in (select catcod from tblvir)  AND PRDCD NOT IN(select plu from plu_kecuali)  GROUP BY a.SHOP,a.TANGGAL;
2022-10-04 18:40:50 : eror di replace stREPLACE   INTO `sales_net012020`  SELECT a.shop,a.TANGGAL,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))) AS salesnet,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))) AS saleshpp,COUNT(DISTINCT(CONCAT(shop,tanggal,docno,station,shift))) AS struk,station,shift FROM  DT_012020 a    WHERE a.`tanggal`='2020-01-07' AND  a.shop='T07B'    AND a.PRDCD NOT IN(SELECT plu FROM plu_kecuali)     GROUP BY a.SHOP,a.TANGGAL,a.station,a.shift;
2022-10-04 18:40:50 : eror di replace slsreplace   into `rekapsls012020`(shop,nama,tanggal,salesgross,salesnet,saleshpp,struk,tglupd)  SELECT a.shop,b.nama,a.TANGGAL,SUM(if(a.RTYPE='J',a.GROSS,(a.GROSS)*-1)) AS salesgross,SUM(if(a.RTYPE='J',a.GROSS-a.ppn,(a.gross-a.ppn)*-1)) AS salesnet,SUM(if(a.RTYPE='J',a.HPP*a.QTY,a.HPP*a.QTY*-1)) AS saleshpp,'' AS struk,CURDATE() FROM  DT_012020 a LEFT JOIN shop b ON a.shop=b.kode  WHERE a.`tanggal`='2020-01-07' and  a.shop='T07B'  AND a.CAT_COD not in (select catcod from tblvir)  AND PRDCD NOT IN(select plu from plu_kecuali)  GROUP BY a.SHOP,a.TANGGAL;
2022-10-04 18:40:50 : eror di replace stREPLACE   INTO `sales_net012020`  SELECT a.shop,a.TANGGAL,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))) AS salesnet,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))) AS saleshpp,COUNT(DISTINCT(CONCAT(shop,tanggal,docno,station,shift))) AS struk,station,shift FROM  DT_012020 a    WHERE a.`tanggal`='2020-01-07' AND  a.shop='T23D'    AND a.PRDCD NOT IN(SELECT plu FROM plu_kecuali)     GROUP BY a.SHOP,a.TANGGAL,a.station,a.shift;
2022-10-04 18:40:50 : eror di replace slsreplace   into `rekapsls012020`(shop,nama,tanggal,salesgross,salesnet,saleshpp,struk,tglupd)  SELECT a.shop,b.nama,a.TANGGAL,SUM(if(a.RTYPE='J',a.GROSS,(a.GROSS)*-1)) AS salesgross,SUM(if(a.RTYPE='J',a.GROSS-a.ppn,(a.gross-a.ppn)*-1)) AS salesnet,SUM(if(a.RTYPE='J',a.HPP*a.QTY,a.HPP*a.QTY*-1)) AS saleshpp,'' AS struk,CURDATE() FROM  DT_012020 a LEFT JOIN shop b ON a.shop=b.kode  WHERE a.`tanggal`='2020-01-07' and  a.shop='T23D'  AND a.CAT_COD not in (select catcod from tblvir)  AND PRDCD NOT IN(select plu from plu_kecuali)  GROUP BY a.SHOP,a.TANGGAL;
2022-10-04 18:40:51 : eror di replace stREPLACE   INTO `sales_net012020`  SELECT a.shop,a.TANGGAL,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))) AS salesnet,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))) AS saleshpp,COUNT(DISTINCT(CONCAT(shop,tanggal,docno,station,shift))) AS struk,station,shift FROM  DT_012020 a    WHERE a.`tanggal`='2020-01-07' AND  a.shop='T83Q'    AND a.PRDCD NOT IN(SELECT plu FROM plu_kecuali)     GROUP BY a.SHOP,a.TANGGAL,a.station,a.shift;
2022-10-04 18:40:51 : eror di replace slsreplace   into `rekapsls012020`(shop,nama,tanggal,salesgross,salesnet,saleshpp,struk,tglupd)  SELECT a.shop,b.nama,a.TANGGAL,SUM(if(a.RTYPE='J',a.GROSS,(a.GROSS)*-1)) AS salesgross,SUM(if(a.RTYPE='J',a.GROSS-a.ppn,(a.gross-a.ppn)*-1)) AS salesnet,SUM(if(a.RTYPE='J',a.HPP*a.QTY,a.HPP*a.QTY*-1)) AS saleshpp,'' AS struk,CURDATE() FROM  DT_012020 a LEFT JOIN shop b ON a.shop=b.kode  WHERE a.`tanggal`='2020-01-07' and  a.shop='T83Q'  AND a.CAT_COD not in (select catcod from tblvir)  AND PRDCD NOT IN(select plu from plu_kecuali)  GROUP BY a.SHOP,a.TANGGAL;
2022-10-04 18:40:52 : eror di replace stREPLACE   INTO `sales_net012020`  SELECT a.shop,a.TANGGAL,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))) AS salesnet,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))) AS saleshpp,COUNT(DISTINCT(CONCAT(shop,tanggal,docno,station,shift))) AS struk,station,shift FROM  DT_012020 a    WHERE a.`tanggal`='2020-01-07' AND  a.shop='TAAP'    AND a.PRDCD NOT IN(SELECT plu FROM plu_kecuali)     GROUP BY a.SHOP,a.TANGGAL,a.station,a.shift;
2022-10-04 18:40:52 : eror di replace slsreplace   into `rekapsls012020`(shop,nama,tanggal,salesgross,salesnet,saleshpp,struk,tglupd)  SELECT a.shop,b.nama,a.TANGGAL,SUM(if(a.RTYPE='J',a.GROSS,(a.GROSS)*-1)) AS salesgross,SUM(if(a.RTYPE='J',a.GROSS-a.ppn,(a.gross-a.ppn)*-1)) AS salesnet,SUM(if(a.RTYPE='J',a.HPP*a.QTY,a.HPP*a.QTY*-1)) AS saleshpp,'' AS struk,CURDATE() FROM  DT_012020 a LEFT JOIN shop b ON a.shop=b.kode  WHERE a.`tanggal`='2020-01-07' and  a.shop='TAAP'  AND a.CAT_COD not in (select catcod from tblvir)  AND PRDCD NOT IN(select plu from plu_kecuali)  GROUP BY a.SHOP,a.TANGGAL;
2022-10-04 18:40:53 : eror di replace stREPLACE   INTO `sales_net012020`  SELECT a.shop,a.TANGGAL,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))) AS salesnet,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))) AS saleshpp,COUNT(DISTINCT(CONCAT(shop,tanggal,docno,station,shift))) AS struk,station,shift FROM  DT_012020 a    WHERE a.`tanggal`='2020-01-07' AND  a.shop='TB4Z'    AND a.PRDCD NOT IN(SELECT plu FROM plu_kecuali)     GROUP BY a.SHOP,a.TANGGAL,a.station,a.shift;
2022-10-04 18:40:53 : eror di replace slsreplace   into `rekapsls012020`(shop,nama,tanggal,salesgross,salesnet,saleshpp,struk,tglupd)  SELECT a.shop,b.nama,a.TANGGAL,SUM(if(a.RTYPE='J',a.GROSS,(a.GROSS)*-1)) AS salesgross,SUM(if(a.RTYPE='J',a.GROSS-a.ppn,(a.gross-a.ppn)*-1)) AS salesnet,SUM(if(a.RTYPE='J',a.HPP*a.QTY,a.HPP*a.QTY*-1)) AS saleshpp,'' AS struk,CURDATE() FROM  DT_012020 a LEFT JOIN shop b ON a.shop=b.kode  WHERE a.`tanggal`='2020-01-07' and  a.shop='TB4Z'  AND a.CAT_COD not in (select catcod from tblvir)  AND PRDCD NOT IN(select plu from plu_kecuali)  GROUP BY a.SHOP,a.TANGGAL;
2022-10-04 18:40:53 : eror di replace stREPLACE   INTO `sales_net012020`  SELECT a.shop,a.TANGGAL,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))) AS salesnet,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))) AS saleshpp,COUNT(DISTINCT(CONCAT(shop,tanggal,docno,station,shift))) AS struk,station,shift FROM  DT_012020 a    WHERE a.`tanggal`='2020-01-07' AND  a.shop='TC27'    AND a.PRDCD NOT IN(SELECT plu FROM plu_kecuali)     GROUP BY a.SHOP,a.TANGGAL,a.station,a.shift;
2022-10-04 18:40:53 : eror di replace slsreplace   into `rekapsls012020`(shop,nama,tanggal,salesgross,salesnet,saleshpp,struk,tglupd)  SELECT a.shop,b.nama,a.TANGGAL,SUM(if(a.RTYPE='J',a.GROSS,(a.GROSS)*-1)) AS salesgross,SUM(if(a.RTYPE='J',a.GROSS-a.ppn,(a.gross-a.ppn)*-1)) AS salesnet,SUM(if(a.RTYPE='J',a.HPP*a.QTY,a.HPP*a.QTY*-1)) AS saleshpp,'' AS struk,CURDATE() FROM  DT_012020 a LEFT JOIN shop b ON a.shop=b.kode  WHERE a.`tanggal`='2020-01-07' and  a.shop='TC27'  AND a.CAT_COD not in (select catcod from tblvir)  AND PRDCD NOT IN(select plu from plu_kecuali)  GROUP BY a.SHOP,a.TANGGAL;
2022-10-04 18:40:54 : eror di replace stREPLACE   INTO `sales_net012020`  SELECT a.shop,a.TANGGAL,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))) AS salesnet,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))) AS saleshpp,COUNT(DISTINCT(CONCAT(shop,tanggal,docno,station,shift))) AS struk,station,shift FROM  DT_012020 a    WHERE a.`tanggal`='2020-01-07' AND  a.shop='TC98'    AND a.PRDCD NOT IN(SELECT plu FROM plu_kecuali)     GROUP BY a.SHOP,a.TANGGAL,a.station,a.shift;
2022-10-04 18:40:54 : eror di replace slsreplace   into `rekapsls012020`(shop,nama,tanggal,salesgross,salesnet,saleshpp,struk,tglupd)  SELECT a.shop,b.nama,a.TANGGAL,SUM(if(a.RTYPE='J',a.GROSS,(a.GROSS)*-1)) AS salesgross,SUM(if(a.RTYPE='J',a.GROSS-a.ppn,(a.gross-a.ppn)*-1)) AS salesnet,SUM(if(a.RTYPE='J',a.HPP*a.QTY,a.HPP*a.QTY*-1)) AS saleshpp,'' AS struk,CURDATE() FROM  DT_012020 a LEFT JOIN shop b ON a.shop=b.kode  WHERE a.`tanggal`='2020-01-07' and  a.shop='TC98'  AND a.CAT_COD not in (select catcod from tblvir)  AND PRDCD NOT IN(select plu from plu_kecuali)  GROUP BY a.SHOP,a.TANGGAL;
2022-10-04 18:40:55 : eror di replace stREPLACE   INTO `sales_net012020`  SELECT a.shop,a.TANGGAL,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))) AS salesnet,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))) AS saleshpp,COUNT(DISTINCT(CONCAT(shop,tanggal,docno,station,shift))) AS struk,station,shift FROM  DT_012020 a    WHERE a.`tanggal`='2020-01-07' AND  a.shop='TF9C'    AND a.PRDCD NOT IN(SELECT plu FROM plu_kecuali)     GROUP BY a.SHOP,a.TANGGAL,a.station,a.shift;
2022-10-04 18:40:55 : eror di replace slsreplace   into `rekapsls012020`(shop,nama,tanggal,salesgross,salesnet,saleshpp,struk,tglupd)  SELECT a.shop,b.nama,a.TANGGAL,SUM(if(a.RTYPE='J',a.GROSS,(a.GROSS)*-1)) AS salesgross,SUM(if(a.RTYPE='J',a.GROSS-a.ppn,(a.gross-a.ppn)*-1)) AS salesnet,SUM(if(a.RTYPE='J',a.HPP*a.QTY,a.HPP*a.QTY*-1)) AS saleshpp,'' AS struk,CURDATE() FROM  DT_012020 a LEFT JOIN shop b ON a.shop=b.kode  WHERE a.`tanggal`='2020-01-07' and  a.shop='TF9C'  AND a.CAT_COD not in (select catcod from tblvir)  AND PRDCD NOT IN(select plu from plu_kecuali)  GROUP BY a.SHOP,a.TANGGAL;
2022-10-04 18:40:56 : eror di replace stREPLACE   INTO `sales_net012020`  SELECT a.shop,a.TANGGAL,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))) AS salesnet,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))) AS saleshpp,COUNT(DISTINCT(CONCAT(shop,tanggal,docno,station,shift))) AS struk,station,shift FROM  DT_012020 a    WHERE a.`tanggal`='2020-01-07' AND  a.shop='TGLL'    AND a.PRDCD NOT IN(SELECT plu FROM plu_kecuali)     GROUP BY a.SHOP,a.TANGGAL,a.station,a.shift;
2022-10-04 18:40:56 : eror di replace slsreplace   into `rekapsls012020`(shop,nama,tanggal,salesgross,salesnet,saleshpp,struk,tglupd)  SELECT a.shop,b.nama,a.TANGGAL,SUM(if(a.RTYPE='J',a.GROSS,(a.GROSS)*-1)) AS salesgross,SUM(if(a.RTYPE='J',a.GROSS-a.ppn,(a.gross-a.ppn)*-1)) AS salesnet,SUM(if(a.RTYPE='J',a.HPP*a.QTY,a.HPP*a.QTY*-1)) AS saleshpp,'' AS struk,CURDATE() FROM  DT_012020 a LEFT JOIN shop b ON a.shop=b.kode  WHERE a.`tanggal`='2020-01-07' and  a.shop='TGLL'  AND a.CAT_COD not in (select catcod from tblvir)  AND PRDCD NOT IN(select plu from plu_kecuali)  GROUP BY a.SHOP,a.TANGGAL;
2022-10-04 18:40:57 : eror di replace stREPLACE   INTO `sales_net012020`  SELECT a.shop,a.TANGGAL,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))) AS salesnet,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))) AS saleshpp,COUNT(DISTINCT(CONCAT(shop,tanggal,docno,station,shift))) AS struk,station,shift FROM  DT_012020 a    WHERE a.`tanggal`='2020-01-07' AND  a.shop='THGJ'    AND a.PRDCD NOT IN(SELECT plu FROM plu_kecuali)     GROUP BY a.SHOP,a.TANGGAL,a.station,a.shift;
2022-10-04 18:40:57 : eror di replace slsreplace   into `rekapsls012020`(shop,nama,tanggal,salesgross,salesnet,saleshpp,struk,tglupd)  SELECT a.shop,b.nama,a.TANGGAL,SUM(if(a.RTYPE='J',a.GROSS,(a.GROSS)*-1)) AS salesgross,SUM(if(a.RTYPE='J',a.GROSS-a.ppn,(a.gross-a.ppn)*-1)) AS salesnet,SUM(if(a.RTYPE='J',a.HPP*a.QTY,a.HPP*a.QTY*-1)) AS saleshpp,'' AS struk,CURDATE() FROM  DT_012020 a LEFT JOIN shop b ON a.shop=b.kode  WHERE a.`tanggal`='2020-01-07' and  a.shop='THGJ'  AND a.CAT_COD not in (select catcod from tblvir)  AND PRDCD NOT IN(select plu from plu_kecuali)  GROUP BY a.SHOP,a.TANGGAL;
2022-10-04 18:40:58 : eror di replace stREPLACE   INTO `sales_net012020`  SELECT a.shop,a.TANGGAL,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))) AS salesnet,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))) AS saleshpp,COUNT(DISTINCT(CONCAT(shop,tanggal,docno,station,shift))) AS struk,station,shift FROM  DT_012020 a    WHERE a.`tanggal`='2020-01-07' AND  a.shop='TIFI'    AND a.PRDCD NOT IN(SELECT plu FROM plu_kecuali)     GROUP BY a.SHOP,a.TANGGAL,a.station,a.shift;
2022-10-04 18:40:58 : eror di replace slsreplace   into `rekapsls012020`(shop,nama,tanggal,salesgross,salesnet,saleshpp,struk,tglupd)  SELECT a.shop,b.nama,a.TANGGAL,SUM(if(a.RTYPE='J',a.GROSS,(a.GROSS)*-1)) AS salesgross,SUM(if(a.RTYPE='J',a.GROSS-a.ppn,(a.gross-a.ppn)*-1)) AS salesnet,SUM(if(a.RTYPE='J',a.HPP*a.QTY,a.HPP*a.QTY*-1)) AS saleshpp,'' AS struk,CURDATE() FROM  DT_012020 a LEFT JOIN shop b ON a.shop=b.kode  WHERE a.`tanggal`='2020-01-07' and  a.shop='TIFI'  AND a.CAT_COD not in (select catcod from tblvir)  AND PRDCD NOT IN(select plu from plu_kecuali)  GROUP BY a.SHOP,a.TANGGAL;
2022-10-04 18:40:59 : eror di replace stREPLACE   INTO `sales_net012020`  SELECT a.shop,a.TANGGAL,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))) AS salesnet,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))) AS saleshpp,COUNT(DISTINCT(CONCAT(shop,tanggal,docno,station,shift))) AS struk,station,shift FROM  DT_012020 a    WHERE a.`tanggal`='2020-01-07' AND  a.shop='TL61'    AND a.PRDCD NOT IN(SELECT plu FROM plu_kecuali)     GROUP BY a.SHOP,a.TANGGAL,a.station,a.shift;
2022-10-04 18:40:59 : eror di replace slsreplace   into `rekapsls012020`(shop,nama,tanggal,salesgross,salesnet,saleshpp,struk,tglupd)  SELECT a.shop,b.nama,a.TANGGAL,SUM(if(a.RTYPE='J',a.GROSS,(a.GROSS)*-1)) AS salesgross,SUM(if(a.RTYPE='J',a.GROSS-a.ppn,(a.gross-a.ppn)*-1)) AS salesnet,SUM(if(a.RTYPE='J',a.HPP*a.QTY,a.HPP*a.QTY*-1)) AS saleshpp,'' AS struk,CURDATE() FROM  DT_012020 a LEFT JOIN shop b ON a.shop=b.kode  WHERE a.`tanggal`='2020-01-07' and  a.shop='TL61'  AND a.CAT_COD not in (select catcod from tblvir)  AND PRDCD NOT IN(select plu from plu_kecuali)  GROUP BY a.SHOP,a.TANGGAL;
2022-10-04 18:41:00 : eror di replace stREPLACE   INTO `sales_net012020`  SELECT a.shop,a.TANGGAL,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))) AS salesnet,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))) AS saleshpp,COUNT(DISTINCT(CONCAT(shop,tanggal,docno,station,shift))) AS struk,station,shift FROM  DT_012020 a    WHERE a.`tanggal`='2020-01-07' AND  a.shop='TOD7'    AND a.PRDCD NOT IN(SELECT plu FROM plu_kecuali)     GROUP BY a.SHOP,a.TANGGAL,a.station,a.shift;
2022-10-04 18:41:00 : eror di replace slsreplace   into `rekapsls012020`(shop,nama,tanggal,salesgross,salesnet,saleshpp,struk,tglupd)  SELECT a.shop,b.nama,a.TANGGAL,SUM(if(a.RTYPE='J',a.GROSS,(a.GROSS)*-1)) AS salesgross,SUM(if(a.RTYPE='J',a.GROSS-a.ppn,(a.gross-a.ppn)*-1)) AS salesnet,SUM(if(a.RTYPE='J',a.HPP*a.QTY,a.HPP*a.QTY*-1)) AS saleshpp,'' AS struk,CURDATE() FROM  DT_012020 a LEFT JOIN shop b ON a.shop=b.kode  WHERE a.`tanggal`='2020-01-07' and  a.shop='TOD7'  AND a.CAT_COD not in (select catcod from tblvir)  AND PRDCD NOT IN(select plu from plu_kecuali)  GROUP BY a.SHOP,a.TANGGAL;
2022-10-04 18:41:01 : eror di replace stREPLACE   INTO `sales_net012020`  SELECT a.shop,a.TANGGAL,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.GROSS-a.ppn,0))) AS salesnet,(SUM(IF(a.RTYPE='J' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))-SUM(IF(a.RTYPE='D' AND a.CAT_COD NOT IN (SELECT catcod FROM tblvir),a.HPP*a.QTY,0))) AS saleshpp,COUNT(DISTINCT(CONCAT(shop,tanggal,docno,station,shift))) AS struk,station,shift FROM  DT_012020 a    WHERE a.`tanggal`='2020-01-07' AND  a.shop='TPT4'    AND a.PRDCD NOT IN(SELECT plu FROM plu_kecuali)     GROUP BY a.SHOP,a.TANGGAL,a.station,a.shift;
2022-10-04 18:41:02 : eror di replace slsreplace   into `rekapsls012020`(shop,nama,tanggal,salesgross,salesnet,saleshpp,struk,tglupd)  SELECT a.shop,b.nama,a.TANGGAL,SUM(if(a.RTYPE='J',a.GROSS,(a.GROSS)*-1)) AS salesgross,SUM(if(a.RTYPE='J',a.GROSS-a.ppn,(a.gross-a.ppn)*-1)) AS salesnet,SUM(if(a.RTYPE='J',a.HPP*a.QTY,a.HPP*a.QTY*-1)) AS saleshpp,'' AS struk,CURDATE() FROM  DT_012020 a LEFT JOIN shop b ON a.shop=b.kode  WHERE a.`tanggal`='2020-01-07' and  a.shop='TPT4'  AND a.CAT_COD not in (select catcod from tblvir)  AND PRDCD NOT IN(select plu from plu_kecuali)  GROUP BY a.SHOP,a.TANGGAL;
